generator;drift_type;size;classifier;detector;accuracy_mean;accuracy_conf;cohen_kappas_mean;cohen_kappas_conf;time_mean;time_conf;memory_mean;memory_conf;drifts_mean;drifts_conf
stagger;gradual;20K;HT;STEPD;0.8966;0.0188;0.7857;0.0367;4.0;0.0;31011.1573;2974.4843;18.4333;2.7539
stagger;gradual;20K;NB;ADWIN;0.879;0.0077;0.7498;0.0153;4.0;0.0;31395.84;357.5371;8.9;0.5747
stagger;gradual;20K;NB;BOCD;0.9131;0.0065;0.8181;0.0131;440.8667;22.0517;152480196.608;29305358.6115;6.9333;0.3091
stagger;gradual;20K;NB;CUSUM;0.9466;0.002;0.8874;0.0041;3.0;0.0;24547.328;4.1886;4.0333;0.0682
stagger;gradual;20K;NB;DDM;0.9203;0.0102;0.8297;0.0223;3.0;0.0;37569.8773;3582.1937;6.9;0.7296
stagger;gradual;20K;NB;ECDD;0.9411;0.0023;0.8756;0.0049;3.0;0.0;44266.8373;2744.5953;20.7333;1.8784
stagger;gradual;20K;NB;EDDM;0.9422;0.0026;0.8783;0.0053;3.0;0.0;35066.88;3576.8241;16.5;1.985
stagger;gradual;20K;NB;GMA;0.6397;0.0014;0.1567;0.0025;3.0;0.0;24391.68;0.0;0.0;0.0
stagger;gradual;20K;NB;HDDMA;0.9449;0.0013;0.8836;0.0028;3.0;0.0;25856.6827;8.337;4.0667;0.0947
stagger;gradual;20K;NB;HDDMW;0.9478;0.0018;0.8899;0.0037;3.0;0.0;27484.16;0.0;4.0;0.0
stagger;gradual;20K;NB;KSWIN;0.6431;0.0023;0.1688;0.0074;10.92;0.0439;25400.5248;24.7036;0.1333;0.0581
stagger;gradual;20K;NB;PH;0.9205;0.0085;0.8339;0.0171;3.0;0.0;24623.104;7.0003;4.1;0.1139
stagger;gradual;20K;NB;RDDM;0.9408;0.0027;0.8747;0.0057;3.0;0.0;87765.6747;3382.4868;8.5;1.0413
stagger;gradual;20K;NB;STEPD;0.9366;0.0028;0.8665;0.0057;6.0;0.0;54495.9147;3005.3052;14.7;1.1855
